,phi_0,phi_1,phi_2,phi_3,phi_4,phi_5,phi_6,phi_7,phi_8,phi_9,phi_10,phi_11,phi_12,phi_13,phi_14,phi_15,phi_16,phi_17,phi_18,phi_19,phi_20,phi_21,phi_22,phi_23,phi_24,phi_25,phi_26,phi_27,phi_28,phi_29,energy
2337,1.0,0.203487,0.047160145,0.015524223,0.0047894837,0.00018295049,0.0048069926,0.00073874264,0.010358511,0.00038069292,0.00052626454,0.000121573794,0.0004880785,3.7228045e-05,0.00012247232,3.7445465e-05,7.517023e-05,5.7158095e-06,1.922161e-06,3.7708825e-05,1.9214567e-06,0.0015801839,0.00024337153,0.00024513734,3.8583534e-05,2.9121622e-06,3.8882525e-05,1.187674e-05,0.0005276383,3.1646307e-06,-40.481224
2338,1.0,0.2020747,0.046527807,0.015306103,0.004689105,0.00017733443,0.004712988,0.00072038785,0.010221981,0.00036939228,0.0005150342,0.000118077136,0.00047477265,3.58348e-05,0.000119309625,3.6201018e-05,7.280522e-05,5.484526e-06,1.8574453e-06,3.656593e-05,1.8536749e-06,0.0015478737,0.00023662254,0.00023898383,3.71317e-05,2.766456e-06,3.7513135e-05,1.1415652e-05,0.0005177302,3.0049046e-06,-40.4814
2339,1.0,0.20120104,0.04603816,0.015174841,0.0046236734,0.00017433992,0.0046392516,0.0007059096,0.010132176,0.00035901298,0.00050846935,0.000116038274,0.00046574397,3.5077373e-05,0.00011683946,3.5381137e-05,7.103031e-05,5.3418576e-06,1.8043531e-06,3.561832e-05,1.8005791e-06,0.0015277858,0.00023246734,0.00023399938,3.599546e-05,2.6844311e-06,3.623831e-05,1.1000268e-05,0.0005108185,2.843594e-06,-40.48186
2340,1.0,0.20128037,0.045923833,0.015190096,0.004621397,0.00017501922,0.0046221693,0.00070206245,0.010133597,0.00035483507,0.00050940656,0.000116246716,0.0004650554,3.522793e-05,0.00011628529,3.5321646e-05,7.065929e-05,5.343345e-06,1.7871757e-06,3.5330464e-05,1.7857677e-06,0.0015292483,0.00023264761,0.000232726,3.570174e-05,2.6942082e-06,3.5719557e-05,1.0835882e-05,0.00051044585,2.7652884e-06,-40.482315
2341,1.0,0.20243573,0.046276957,0.015363999,0.0046871267,0.00017902676,0.004680983,0.0007119057,0.010252228,0.00035969185,0.0005181281,0.00011865117,0.00047400844,3.6241414e-05,0.000118339485,3.6077232e-05,7.205831e-05,5.4936045e-06,1.8197838e-06,3.597961e-05,1.8199476e-06,0.0015558382,0.00023753115,0.00023691077,3.6451776e-05,2.7912095e-06,3.6362708e-05,1.1038426e-05,0.0005195791,2.815809e-06,-40.48223
2342,1.0,0.20414314,0.04692936,0.015618972,0.004790323,0.0001845614,0.004789984,0.00073101016,0.010436478,0.0003712217,0.00053082226,0.00012217062,0.0004886681,3.7676942e-05,0.0001221496,3.730922e-05,7.461842e-05,5.7276757e-06,1.8885561e-06,3.7303056e-05,1.8886474e-06,0.0015960392,0.0002449022,0.00024487503,3.7892984e-05,2.9336727e-06,3.788939e-05,1.1518879e-05,0.0005344962,2.9686446e-06,-40.48162
2343,1.0,0.20541051,0.047508143,0.015813375,0.0048759356,0.00018896094,0.004882736,0.00074844883,0.010566728,0.00038220413,0.0005407584,0.00012504323,0.0005008371,3.8814564e-05,0.00012538374,3.8379385e-05,7.6871795e-05,5.926068e-06,1.953829e-06,3.848805e-05,1.9531901e-06,0.0016259577,0.00025064487,0.00025136076,3.9201524e-05,3.0511155e-06,3.930727e-05,1.1984216e-05,0.00054456014,3.1224881e-06,-40.48125
2344,1.0,0.20561802,0.047699783,0.01585124,0.004901594,0.00019016943,0.004906341,0.0007545201,0.010576291,0.0003858902,0.00054299086,0.00012589923,0.0005040606,3.9102262e-05,0.00012614093,3.8747952e-05,7.757078e-05,5.987465e-06,1.9785198e-06,3.8824204e-05,1.9770994e-06,0.0016303279,0.0002519971,0.0002524897,3.9636026e-05,3.083575e-06,3.970995e-05,1.21486555e-05,0.0005443489,3.174648e-06,-40.48142
2345,1.0,0.20490584,0.047450896,0.01574277,0.00486272,0.00018786475,0.0048602456,0.00074741687,0.010500863,0.00038102432,0.0005374854,0.00012456148,0.0004980132,3.849458e-05,0.0001244338,3.8310794e-05,7.6571254e-05,5.894338e-06,1.9546287e-06,3.8268034e-05,1.9527263e-06,0.0016133292,0.00024926354,0.00024901182,3.9053e-05,3.0200126e-06,3.9021106e-05,1.1954862e-05,0.000538359,3.1050708e-06,-40.481567
2346,1.0,0.20369048,0.04692019,0.0155509375,0.0047826157,0.00018327242,0.0047745807,0.0007319595,0.0103879385,0.00037104066,0.0005273962,0.000121810066,0.00048644547,3.733085e-05,0.00012139743,3.7342557e-05,7.4541895e-05,5.7030857e-06,1.8993478e-06,3.7208716e-05,1.8975156e-06,0.0015853891,0.00024410771,0.00024329635,3.7843383e-05,2.8960915e-06,3.773408e-05,1.1546916e-05,0.00053053506,2.9662945e-06,-40.481464
2347,1.0,0.20234936,0.04635631,0.015343238,0.004695482,0.00017840667,0.0046846876,0.0007154871,0.01025879,0.00036111986,0.00051667175,0.00011881834,0.0004741739,3.6100475e-05,0.00011826363,3.628253e-05,7.2385876e-05,5.50051e-06,1.8391629e-06,3.610996e-05,1.8379725e-06,0.0015546794,0.00023831733,0.00023724232,3.6613797e-05,2.769765e-06,3.6458576e-05,1.1134915e-05,0.0005211803,2.8355037e-06,-40.48146
